epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,440.231,1.84493,0.89485,0.9317,0.47965,0.35805,0.35369,0.15285,2.21828,2.60006,1.06037,0.042905,0.042905,0.042905
45,450.202,1.80359,0.88211,0.91463,0.42848,0.39871,0.36483,0.15495,2.2824,2.34472,1.05521,0.04274,0.04274,0.04274
46,460.213,1.80049,0.87922,0.92982,0.52839,0.34048,0.35409,0.14619,2.24723,2.51856,1.05423,0.042575,0.042575,0.042575
47,470.07,1.77157,0.86184,0.93627,0.43737,0.42238,0.37141,0.15141,2.30573,2.33828,1.06277,0.04241,0.04241,0.04241
48,479.921,1.79058,0.86509,0.91565,0.55973,0.34892,0.36293,0.13936,2.34278,2.58209,1.0667,0.042245,0.042245,0.042245
49,489.921,1.77478,0.86604,0.92125,0.48575,0.35046,0.35496,0.15457,2.22244,2.48889,1.03551,0.04208,0.04208,0.04208
50,499.875,1.75826,0.84815,0.9237,0.4153,0.39886,0.35573,0.15453,2.24789,2.53224,1.0426,0.041915,0.041915,0.041915
51,509.704,1.75799,0.84952,0.92744,0.53375,0.40774,0.41888,0.16942,2.18146,2.17835,1.0267,0.04175,0.04175,0.04175
52,519.661,1.76781,0.85084,0.92195,0.44926,0.39446,0.36363,0.16113,2.22698,2.34587,1.04291,0.041585,0.041585,0.041585
53,529.446,1.77573,0.85714,0.92219,0.62664,0.34998,0.38483,0.17079,2.20339,2.46929,1.03683,0.04142,0.04142,0.04142
54,539.265,1.73465,0.83762,0.91573,0.43506,0.34424,0.32541,0.13224,2.28603,2.66635,1.06412,0.041255,0.041255,0.041255
55,549.153,1.73405,0.83343,0.90938,0.68955,0.35288,0.40487,0.17713,2.13775,2.54308,1.03347,0.04109,0.04109,0.04109
56,559.211,1.72695,0.82147,0.91223,0.52369,0.33683,0.36244,0.16818,2.179,2.50088,1.03986,0.040925,0.040925,0.040925
57,569.153,1.71617,0.81804,0.91684,0.41544,0.35887,0.31879,0.11761,2.25373,2.69886,1.0537,0.04076,0.04076,0.04076
58,578.966,1.71181,0.82149,0.91369,0.55511,0.35781,0.37138,0.15995,2.24637,2.56873,1.04327,0.040595,0.040595,0.040595
59,588.819,1.69257,0.80762,0.91756,0.48369,0.38355,0.34936,0.14718,2.18495,2.42347,1.04235,0.04043,0.04043,0.04043
60,598.713,1.68298,0.80412,0.90635,0.56671,0.33172,0.34179,0.14356,2.29144,2.71524,1.05908,0.040265,0.040265,0.040265
61,608.626,1.71529,0.81455,0.9095,0.45556,0.38599,0.36169,0.15079,2.24679,2.57328,1.0414,0.0401,0.0401,0.0401
62,618.593,1.69139,0.80555,0.90157,0.53098,0.41511,0.40299,0.18347,2.12949,2.39369,1.01424,0.039935,0.039935,0.039935
63,628.686,1.68719,0.79518,0.90743,0.46481,0.36216,0.31192,0.13078,2.28237,2.6991,1.0526,0.03977,0.03977,0.03977
64,638.624,1.69357,0.79301,0.9057,0.45083,0.34847,0.30199,0.12799,2.21176,2.61193,1.04117,0.039605,0.039605,0.039605
65,648.602,1.67911,0.78765,0.8955,0.49375,0.38144,0.36317,0.15161,2.13439,2.46622,1.02426,0.03944,0.03944,0.03944
66,658.472,1.69105,0.79002,0.91067,0.45254,0.38186,0.34677,0.14759,2.25738,2.63276,1.05039,0.039275,0.039275,0.039275
67,668.393,1.68327,0.80334,0.90345,0.40965,0.32608,0.31097,0.1294,2.22498,2.5753,1.04715,0.03911,0.03911,0.03911
68,678.363,1.66832,0.77199,0.90123,0.41471,0.41417,0.33489,0.14968,2.17602,2.55588,1.03083,0.038945,0.038945,0.038945
69,688.323,1.62777,0.77198,0.90281,0.57655,0.35962,0.37402,0.14038,2.22638,2.3451,1.04444,0.03878,0.03878,0.03878
70,698.211,1.64591,0.76259,0.89853,0.3866,0.35539,0.29497,0.129,2.11673,2.56377,1.02461,0.038615,0.038615,0.038615
71,708.119,1.64902,0.7783,0.89994,0.44826,0.35013,0.33281,0.13985,2.25026,2.6685,1.05172,0.03845,0.03845,0.03845
72,717.941,1.62895,0.74909,0.89128,0.40317,0.41987,0.36065,0.15887,2.13408,2.43894,1.01658,0.038285,0.038285,0.038285
73,727.778,1.61848,0.75172,0.90025,0.40065,0.28999,0.25926,0.10592,2.25625,2.8892,1.03939,0.03812,0.03812,0.03812
